Fecha,Anio,Guia,Cliente,Origen,Destino,Tipo_Carga,Peso_kg,Distancia_km,Transportista,Costo_Flete,Dias_Entrega,Estado
2022-01-08,2022,GUI-1051,Constructora Norte,Lima,Iquitos,Materiales de construccion,2475.85,1055,Kargia Flota Norte,2244.42,2,En transito
2022-01-08,2022,GUI-1052,Corporacion Metalica Peru,Trujillo,Iquitos,Documentos y paqueteria,1801.38,611,Envios del Sur EIRL,2079.8,2,En transito
2022-01-09,2022,GUI-1053,Comercial Andina SAC,Cusco,Lima,Electrodomesticos,2924.19,1065,Logistica Rapida SAC,3218.14,3,En transito
2022-01-09,2022,GUI-1054,Farmaceutica Nacional,Trujillo,Lima,Refrigerado,2508.88,568,Envios del Sur EIRL,2246.88,5,Retrasado
2022-01-09,2022,GUI-1055,Farmaceutica Nacional,Tacna,Iquitos,Refrigerado,1042.09,582,Transportes Andina SAC,1085.67,1,Entregado
2022-01-09,2022,GUI-1056,Agroexportadora del Valle,Arequipa,Huancayo,Documentos y paqueteria,634.39,782,TransPeru Cargo,1654.3,1,Entregado
2022-01-09,2022,GUI-1057,Constructora Norte,Chiclayo,Trujillo,Materiales de construccion,4238.61,400,Envios del Sur EIRL,3638.24,1,Entregado
2022-01-09,2022,GUI-1058,Farmaceutica Nacional,Ica,Iquitos,Electrodomesticos,1499.74,808,Kargia Flota Norte,2182.76,1,Entregado
2022-01-09,2022,GUI-1059,Corporacion Metalica Peru,Iquitos,Tacna,Documentos y paqueteria,3045.33,650,Rutas Continentales SAC,3665.25,3,Entregado
2022-01-09,2022,GUI-1060,Constructora Norte,Tacna,Cusco,Materiales de construccion,1801.06,603,Kargia Flota Norte,2115.21,1,Entregado
2022-01-10,2022,GUI-1061,Grupo Industrial Lima,Tacna,Lima,Textiles,3495.75,1319,Logistica Rapida SAC,4070.73,2,Entregado
2022-01-10,2022,GUI-1062,Grupo Industrial Lima,Huancayo,Piura,Documentos y paqueteria,4735.31,827,Transportes Andina SAC,2916.05,1,Entregado
2022-01-10,2022,GUI-1063,Farmaceutica Nacional,Cusco,Trujillo,Electrodomesticos,3153.15,708,Kargia Flota Norte,2210.52,3,Entregado
2022-01-10,2022,GUI-1064,Textiles Peruanos SAC,Lima,Chiclayo,Carga general,1463.22,759,Envios del Sur EIRL,1871.56,1,Cancelado
2022-01-10,2022,GUI-1065,Corporacion Metalica Peru,Trujillo,Iquitos,Documentos y paqueteria,2048.56,671,Envios del Sur EIRL,1611.65,3,Cancelado
2022-01-11,2022,GUI-1066,Textiles Peruanos SAC,Iquitos,Lima,Refrigerado,986.37,995,Rutas Continentales SAC,1636.65,2,Entregado
2022-01-11,2022,GUI-1067,Farmaceutica Nacional,Ica,Lima,Documentos y paqueteria,2665.54,253,Transportes Andina SAC,1489.38,1,Entregado
2022-01-11,2022,GUI-1068,Distribuidora Central,Ica,Iquitos,Materiales de construccion,3066.29,850,TransPeru Cargo,2473.62,2,Entregado
2022-01-11,2022,GUI-1069,Corporacion Metalica Peru,Cusco,Piura,Electrodomesticos,51.68,446,Envios del Sur EIRL,667.37,2,Entregado
2022-01-11,2022,GUI-1070,Agroexportadora del Valle,Ica,Iquitos,Textiles,3969.21,846,Kargia Flota Norte,2635.85,1,Entregado
2022-01-11,2022,GUI-1071,Farmaceutica Nacional,Ica,Arequipa,Electrodomesticos,1011.65,843,Rutas Continentales SAC,1631.76,1,Entregado
2022-01-11,2022,GUI-1072,Distribuidora Central,Piura,Cusco,Textiles,1773.79,515,TransPeru Cargo,1913.07,1,Entregado
2022-01-11,2022,GUI-1073,Distribuidora Central,Tacna,Cusco,Perecibles,1080.37,566,Kargia Flota Norte,1385.71,1,Entregado
2022-01-12,2022,GUI-1074,Textiles Peruanos SAC,Chiclayo,Ica,Carga general,4661.88,615,Envios del Sur EIRL,3957.24,1,Entregado
2022-01-12,2022,GUI-1075,Distribuidora Central,Trujillo,Cusco,Maquinaria industrial,3899.66,685,Rutas Continentales SAC,3794.38,2,Entregado
2022-01-12,2022,GUI-1076,Corporacion Metalica Peru,Iquitos,Cusco,Maquinaria industrial,297.39,397,Transportes Andina SAC,539.06,2,Entregado
2022-01-12,2022,GUI-1077,Agroexportadora del Valle,Trujillo,Tacna,Materiales de construccion,1840.47,874,TransPeru Cargo,1881.16,2,Entregado
2022-01-12,2022,GUI-1078,Grupo Industrial Lima,Cusco,Trujillo,Textiles,4705.8,680,Rutas Continentales SAC,4320.44,1,Entregado
2022-01-12,2022,GUI-1079,Farmaceutica Nacional,Lima,Iquitos,Materiales de construccion,4250.18,1050,TransPeru Cargo,3888,3,Entregado
2022-01-13,2022,GUI-1080,Comercial Andina SAC,Chiclayo,Cusco,Documentos y paqueteria,539.68,618,Kargia Flota Norte,855.17,1,Entregado
2022-01-13,2022,GUI-1081,Textiles Peruanos SAC,Cusco,Lima,Electrodomesticos,968.42,1075,Transportes Andina SAC,2104.65,4,En transito
2022-01-13,2022,GUI-1082,Industrias del Pacifico,Tacna,Piura,Electrodomesticos,2471.51,699,Kargia Flota Norte,2255.04,1,Entregado
2022-01-13,2022,GUI-1083,Farmaceutica Nacional,Cusco,Tacna,Perecibles,828.86,607,Kargia Flota Norte,1453.9,1,Entregado
2022-01-13,2022,GUI-1084,Corporacion Metalica Peru,Huancayo,Piura,Carga general,2341.78,824,Transportes Andina SAC,2320.21,1,Entregado
2022-01-13,2022,GUI-1085,Agroexportadora del Valle,Iquitos,Cusco,Electrodomesticos,3718.4,371,Kargia Flota Norte,3106.35,1,Entregado
2022-01-14,2022,GUI-1086,Industrias del Pacifico,Lima,Piura,Maquinaria industrial,3972.19,972,TransPeru Cargo,2677.19,1,Entregado
2022-01-14,2022,GUI-1087,Corporacion Metalica Peru,Chiclayo,Trujillo,Textiles,1964.49,386,Logistica Rapida SAC,1741.64,1,Cancelado
2022-01-14,2022,GUI-1088,Farmaceutica Nacional,Arequipa,Cusco,Carga general,1728.21,496,Transportes Andina SAC,1152.08,2,Entregado
2022-01-14,2022,GUI-1089,Constructora Norte,Piura,Huancayo,Perecibles,598.64,836,Transportes Andina SAC,1284.34,2,Entregado
2022-01-14,2022,GUI-1090,Industrias del Pacifico,Iquitos,Huancayo,Refrigerado,2582.86,776,Logistica Rapida SAC,1798.04,3,Entregado
2022-01-14,2022,GUI-1091,Comercial Andina SAC,Lima,Piura,Electrodomesticos,4735.62,937,Envios del Sur EIRL,3427.94,3,Entregado
2022-01-15,2022,GUI-1092,Comercial Andina SAC,Tacna,Ica,Perecibles,302.93,1073,TransPeru Cargo,1248.48,3,En transito
2022-01-15,2022,GUI-1093,Constructora Norte,Tacna,Piura,Electrodomesticos,2809.54,649,TransPeru Cargo,1782.82,1,Cancelado
2022-01-15,2022,GUI-1094,Corporacion Metalica Peru,Ica,Iquitos,Materiales de construccion,1295.97,875,Transportes Andina SAC,1540.66,3,Entregado
2022-01-15,2022,GUI-1095,Distribuidora Central,Ica,Lima,Documentos y paqueteria,2323.87,285,Envios del Sur EIRL,2258.55,1,Entregado
2022-01-16,2022,GUI-1096,Minera Altiplano,Lima,Trujillo,Documentos y paqueteria,4079.96,551,Rutas Continentales SAC,2460.6,5,Retrasado
2022-01-16,2022,GUI-1097,Corporacion Metalica Peru,Trujillo,Ica,Carga general,3810.4,310,Logistica Rapida SAC,3263.17,2,Entregado
2022-01-16,2022,GUI-1098,Distribuidora Central,Piura,Chiclayo,Electrodomesticos,1551.72,507,Logistica Rapida SAC,1457.9,1,Entregado
2022-01-16,2022,GUI-1099,Grupo Industrial Lima,Arequipa,Ica,Perecibles,3410.37,858,Logistica Rapida SAC,2738.03,2,Entregado
2022-01-16,2022,GUI-1100,Industrias del Pacifico,Iquitos,Piura,Textiles,1521.23,417,TransPeru Cargo,1911.84,2,Entregado
2022-01-16,2022,GUI-1101,Industrias del Pacifico,Lima,Trujillo,Electrodomesticos,4289.83,514,Kargia Flota Norte,3397.87,2,Entregado
2022-01-17,2022,GUI-1102,Corporacion Metalica Peru,Arequipa,Iquitos,Materiales de construccion,3684.77,322,TransPeru Cargo,2549.35,1,Entregado
2022-01-17,2022,GUI-1103,Comercial Andina SAC,Lima,Piura,Materiales de construccion,202.94,933,Kargia Flota Norte,1597.25,3,Entregado
2022-01-17,2022,GUI-1104,Textiles Peruanos SAC,Ica,Piura,Refrigerado,321.21,759,Transportes Andina SAC,1416.24,3,Entregado
2022-01-17,2022,GUI-1105,Farmaceutica Nacional,Tacna,Trujillo,Textiles,1897.47,879,TransPeru Cargo,1691.43,1,Entregado
2022-01-17,2022,GUI-1106,Agroexportadora del Valle,Tacna,Huancayo,Perecibles,3923.12,1092,Transportes Andina SAC,4430.73,3,En transito
2022-01-18,2022,GUI-1107,Distribuidora Central,Tacna,Arequipa,Refrigerado,4478.49,600,Envios del Sur EIRL,3667.58,2,Entregado
2022-01-18,2022,GUI-1108,Corporacion Metalica Peru,Iquitos,Piura,Materiales de construccion,4741.29,328,TransPeru Cargo,4536.28,1,Entregado
2022-01-18,2022,GUI-1109,Textiles Peruanos SAC,Arequipa,Piura,Perecibles,3696.23,371,Logistica Rapida SAC,2240.67,1,Entregado
2022-01-18,2022,GUI-1110,Minera Altiplano,Cusco,Trujillo,Maquinaria industrial,3907.6,720,Envios del Sur EIRL,3155.28,2,Entregado
2022-01-18,2022,GUI-1111,Corporacion Metalica Peru,Trujillo,Arequipa,Refrigerado,421.27,607,Envios del Sur EIRL,1122.21,1,Entregado
2022-01-18,2022,GUI-1112,Grupo Industrial Lima,Arequipa,Chiclayo,Carga general,4254.54,488,Logistica Rapida SAC,3370.56,2,Entregado
2022-01-19,2022,GUI-1113,Corporacion Metalica Peru,Lima,Chiclayo,Refrigerado,190.22,817,Envios del Sur EIRL,1267.04,2,En transito
2022-01-19,2022,GUI-1114,Distribuidora Central,Cusco,Tacna,Electrodomesticos,2460.36,528,TransPeru Cargo,2676.08,1,Entregado
2022-01-19,2022,GUI-1115,Corporacion Metalica Peru,Tacna,Trujillo,Materiales de construccion,975.62,912,Envios del Sur EIRL,1935.03,3,Entregado
2022-01-19,2022,GUI-1116,Constructora Norte,Arequipa,Huancayo,Carga general,724.97,771,Logistica Rapida SAC,1757.52,2,Entregado
2022-01-20,2022,GUI-1117,Agroexportadora del Valle,Arequipa,Ica,Perecibles,3477.03,828,TransPeru Cargo,3345.08,2,Entregado
2022-01-20,2022,GUI-1118,Minera Altiplano,Lima,Trujillo,Documentos y paqueteria,3152.07,522,Rutas Continentales SAC,2414.95,2,Entregado
2022-01-20,2022,GUI-1119,Textiles Peruanos SAC,Tacna,Tacna,Maquinaria industrial,758.53,58,Rutas Continentales SAC,369,1,Entregado
2022-01-20,2022,GUI-1120,Minera Altiplano,Piura,Cusco,Documentos y paqueteria,390.73,465,Envios del Sur EIRL,835.7,2,Entregado
2022-01-20,2022,GUI-1121,Farmaceutica Nacional,Trujillo,Cusco,Maquinaria industrial,1572.17,720,Logistica Rapida SAC,2092.46,1,Entregado
2022-01-20,2022,GUI-1122,Constructora Norte,Trujillo,Chiclayo,Maquinaria industrial,670.72,411,Transportes Andina SAC,941.07,1,Entregado
2022-01-20,2022,GUI-1123,Farmaceutica Nacional,Lima,Chiclayo,Refrigerado,4234.98,720,Envios del Sur EIRL,4450.04,6,Retrasado
2022-01-20,2022,GUI-1124,Textiles Peruanos SAC,Ica,Huancayo,Refrigerado,4777.71,80,Logistica Rapida SAC,3037.87,6,Retrasado
2022-01-21,2022,GUI-1125,Comercial Andina SAC,Iquitos,Ica,Maquinaria industrial,2728.38,811,TransPeru Cargo,2062.68,1,Entregado
2022-01-21,2022,GUI-1126,Textiles Peruanos SAC,Tacna,Cusco,Electrodomesticos,3427.46,611,Logistica Rapida SAC,3116.2,1,Entregado
2022-01-21,2022,GUI-1127,Farmaceutica Nacional,Cusco,Iquitos,Perecibles,3239.13,413,TransPeru Cargo,2439.57,1,Entregado
2022-01-21,2022,GUI-1128,Comercial Andina SAC,Trujillo,Chiclayo,Electrodomesticos,1037.16,377,TransPeru Cargo,1223.83,2,Entregado
2022-01-21,2022,GUI-1129,Distribuidora Central,Tacna,Cusco,Electrodomesticos,992.29,604,Logistica Rapida SAC,1474.83,1,Entregado
2022-01-22,2022,GUI-1130,Constructora Norte,Lima,Ica,Documentos y paqueteria,1844.71,332,Transportes Andina SAC,1886.72,2,Entregado
2022-01-22,2022,GUI-1131,Farmaceutica Nacional,Cusco,Ica,Documentos y paqueteria,2489.9,907,Logistica Rapida SAC,2987.26,1,Entregado
2022-01-22,2022,GUI-1132,Comercial Andina SAC,Tacna,Piura,Maquinaria industrial,812.75,604,Envios del Sur EIRL,1254.38,1,Entregado
2022-01-22,2022,GUI-1133,Corporacion Metalica Peru,Huancayo,Chiclayo,Textiles,2218.78,594,Kargia Flota Norte,1589.87,1,En transito
2022-01-23,2022,GUI-1134,Corporacion Metalica Peru,Lima,Huancayo,Maquinaria industrial,1890.66,270,Rutas Continentales SAC,2094.06,2,Entregado
2022-01-23,2022,GUI-1135,Constructora Norte,Arequipa,Tacna,Documentos y paqueteria,812.92,588,Rutas Continentales SAC,965.7,1,Entregado
2022-01-23,2022,GUI-1136,Textiles Peruanos SAC,Arequipa,Huancayo,Maquinaria industrial,535.59,761,Envios del Sur EIRL,1127.84,1,Entregado
2022-01-23,2022,GUI-1137,Farmaceutica Nacional,Tacna,Chiclayo,Maquinaria industrial,3965.76,757,TransPeru Cargo,3214.59,1,Entregado
2022-01-23,2022,GUI-1138,Grupo Industrial Lima,Ica,Chiclayo,Refrigerado,779.63,520,Envios del Sur EIRL,1129.35,1,Entregado
2022-01-23,2022,GUI-1139,Grupo Industrial Lima,Iquitos,Trujillo,Maquinaria industrial,2090.2,675,Rutas Continentales SAC,1817.16,2,Entregado
2022-01-24,2022,GUI-1140,Textiles Peruanos SAC,Ica,Trujillo,Documentos y paqueteria,4041.39,364,TransPeru Cargo,2594.86,1,Entregado
2022-01-24,2022,GUI-1141,Distribuidora Central,Chiclayo,Tacna,Refrigerado,435.18,823,Kargia Flota Norte,1480.24,2,Entregado
2022-01-24,2022,GUI-1142,Comercial Andina SAC,Ica,Trujillo,Materiales de construccion,584.74,340,Envios del Sur EIRL,713.88,1,En transito
2022-01-24,2022,GUI-1143,Distribuidora Central,Iquitos,Huancayo,Electrodomesticos,502.18,859,Logistica Rapida SAC,1584.33,3,Entregado
2022-01-24,2022,GUI-1144,Grupo Industrial Lima,Ica,Lima,Documentos y paqueteria,4219.47,324,Logistica Rapida SAC,3488.44,2,Entregado
2022-01-24,2022,GUI-1145,Constructora Norte,Lima,Huancayo,Maquinaria industrial,3117.55,251,TransPeru Cargo,1570.97,1,Entregado
2022-01-25,2022,GUI-1146,Minera Altiplano,Tacna,Piura,Materiales de construccion,97.1,590,TransPeru Cargo,681.31,2,Entregado
2022-01-25,2022,GUI-1147,Agroexportadora del Valle,Tacna,Arequipa,Materiales de construccion,1831.01,575,Envios del Sur EIRL,2219.52,1,Entregado
2022-01-25,2022,GUI-1148,Grupo Industrial Lima,Lima,Trujillo,Carga general,4603.84,551,Kargia Flota Norte,4815.27,1,Entregado
2022-01-25,2022,GUI-1149,Distribuidora Central,Tacna,Trujillo,Carga general,1986.62,896,Transportes Andina SAC,3027.62,1,Entregado
2022-01-25,2022,GUI-1150,Agroexportadora del Valle,Cusco,Iquitos,Carga general,333.5,402,Logistica Rapida SAC,651.41,1,Entregado
2022-01-25,2022,GUI-1151,Textiles Peruanos SAC,Arequipa,Huancayo,Documentos y paqueteria,477.23,792,Logistica Rapida SAC,1429.27,6,Retrasado
2022-01-25,2022,GUI-1152,Constructora Norte,Cusco,Tacna,Carga general,592,516,Rutas Continentales SAC,1093.13,1,Entregado
2022-01-25,2022,GUI-1153,Agroexportadora del Valle,Ica,Huancayo,Documentos y paqueteria,651.28,85,Logistica Rapida SAC,627.4,1,Entregado
2022-01-25,2022,GUI-1154,Agroexportadora del Valle,Piura,Tacna,Maquinaria industrial,136.6,593,Kargia Flota Norte,736.73,1,Entregado
2022-01-26,2022,GUI-1155,Farmaceutica Nacional,Chiclayo,Iquitos,Documentos y paqueteria,3047.98,488,Kargia Flota Norte,2672.29,1,Entregado
2022-01-26,2022,GUI-1156,Corporacion Metalica Peru,Iquitos,Piura,Maquinaria industrial,3328.54,368,Transportes Andina SAC,2165.83,1,Entregado
2022-01-26,2022,GUI-1157,Corporacion Metalica Peru,Piura,Chiclayo,Materiales de construccion,2362.28,442,Transportes Andina SAC,2527.85,1,Entregado
2022-01-26,2022,GUI-1158,Agroexportadora del Valle,Arequipa,Chiclayo,Refrigerado,595.3,517,TransPeru Cargo,768.34,1,Entregado
2022-01-26,2022,GUI-1159,Distribuidora Central,Lima,Ica,Perecibles,3901.94,357,Transportes Andina SAC,2142.38,1,Entregado
2022-01-26,2022,GUI-1160,Corporacion Metalica Peru,Lima,Arequipa,Electrodomesticos,1369.26,1024,Transportes Andina SAC,1805.45,3,Entregado
2022-01-27,2022,GUI-1161,Comercial Andina SAC,Trujillo,Tacna,Refrigerado,1138.79,959,Logistica Rapida SAC,1940.59,2,Entregado
2022-01-27,2022,GUI-1162,Distribuidora Central,Piura,Arequipa,Carga general,2012.74,372,Kargia Flota Norte,1169.08,1,Entregado
2022-01-27,2022,GUI-1163,Minera Altiplano,Tacna,Piura,Materiales de construccion,3709.26,594,Rutas Continentales SAC,3315.81,2,Entregado
2022-01-28,2022,GUI-1164,Distribuidora Central,Piura,Trujillo,Refrigerado,1734.94,602,Kargia Flota Norte,1727.07,2,Entregado
2022-01-28,2022,GUI-1165,Corporacion Metalica Peru,Cusco,Cusco,Carga general,4579.44,53,Rutas Continentales SAC,3916.23,1,Entregado
2022-01-28,2022,GUI-1166,Industrias del Pacifico,Trujillo,Arequipa,Carga general,1861.5,614,Envios del Sur EIRL,1966.08,2,Entregado
2022-01-28,2022,GUI-1167,Distribuidora Central,Huancayo,Arequipa,Carga general,3219.54,784,Transportes Andina SAC,2294.31,3,Entregado
2022-01-28,2022,GUI-1168,Minera Altiplano,Huancayo,Cusco,Textiles,4701.5,935,Rutas Continentales SAC,3207.01,3,Entregado
2022-01-28,2022,GUI-1169,Minera Altiplano,Tacna,Huancayo,Electrodomesticos,2966.85,1129,Rutas Continentales SAC,2614.88,4,Entregado
2022-01-28,2022,GUI-1170,Corporacion Metalica Peru,Piura,Lima,Maquinaria industrial,4484.53,978,TransPeru Cargo,3196.62,3,Entregado
2022-01-28,2022,GUI-1171,Grupo Industrial Lima,Piura,Tacna,Materiales de construccion,2577.46,610,Transportes Andina SAC,2576.71,2,Entregado
2022-01-29,2022,GUI-1172,Grupo Industrial Lima,Piura,Chiclayo,Textiles,2548.36,549,Rutas Continentales SAC,1780.04,1,Entregado
2022-01-29,2022,GUI-1173,Corporacion Metalica Peru,Piura,Trujillo,Textiles,2827.69,658,TransPeru Cargo,2507.43,1,Entregado
2022-01-29,2022,GUI-1174,Comercial Andina SAC,Cusco,Iquitos,Carga general,4011.95,435,Transportes Andina SAC,2618.07,1,Entregado
2022-01-29,2022,GUI-1175,Grupo Industrial Lima,Iquitos,Piura,Maquinaria industrial,618.18,356,Envios del Sur EIRL,692.58,2,Entregado
2022-01-29,2022,GUI-1176,Comercial Andina SAC,Huancayo,Cusco,Electrodomesticos,268.31,948,Rutas Continentales SAC,930.03,3,Entregado
2022-01-29,2022,GUI-1177,Minera Altiplano,Chiclayo,Trujillo,Textiles,890.27,401,Envios del Sur EIRL,1161.2,2,Entregado
2022-01-29,2022,GUI-1178,Distribuidora Central,Ica,Cusco,Textiles,3165.22,900,Transportes Andina SAC,2668.94,3,Entregado
2022-01-30,2022,GUI-1179,Grupo Industrial Lima,Iquitos,Huancayo,Documentos y paqueteria,306.72,856,Transportes Andina SAC,1466.75,2,Entregado
2022-01-30,2022,GUI-1180,Textiles Peruanos SAC,Trujillo,Ica,Carga general,3271.9,424,Rutas Continentales SAC,2704.18,1,Entregado
2022-01-30,2022,GUI-1181,Textiles Peruanos SAC,Cusco,Iquitos,Maquinaria industrial,1789.51,444,Transportes Andina SAC,1384.77,1,Entregado
